"Date","Author","Verified","Helpful","Title","Body","Rating","Images","Videos","URL","Variation","Style"
"Reviewed in the United States on October 16, 2022","Alejandro Trujillo","yes","yes","Real alivio del dolor","Como dice la propaganda del artículo, sientes el alivio a la semana de estarlo consumiendo. Sufro de artritis y el mayor dolor lo sentía en mi rodilla y cadera izquierda y en el medio de la espalda. Después de estar tomando este medicamento por tres semanas, siento mucho menos dolor. Es una ventaja que la dosis diaria sea solo una tableta al día, ya que antes debía tomar de 3 a 5 de otro medicamento. Tampoco he tenido que acudir a tomar antiinflamatorios durante este tiempo. Estoy feliz de haber decidido darle una oportunidad a este producto porque realmente, en mi caso, ha funcionado. Pienso suscribirme para recibirlo mensualmente y le recomiendo a todo aquel que quiera evitar estar tomando muchas pastillas al día para aliviar el dolor, que prueben este producto.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R4AW7SOFZROVQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on May 1, 2021","Texas_LongHorn","yes","yes","Worked really fast!","My friend recommended this supplement some time ago as it worked great for him. At the same time I've been dealing with the knee pain over the past month or so, but at first I hesitated to buy it since I was hoping the pain will go away on its own. However, after 2-3 weeks not seeing it getting any better I decided to give it a try and I have to say I noticed an immediate improvement. I would say I felt significantly less pain and discomfort after 1-2 days. I am using it twice a day now as recommended and plan to switch to once a day after one week. Also I wanted to mention that my mom who is taking it as well saying it works great for her too and the effect was almost immediate - she had less joint pain right away.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1ICKDEOUJE36I/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on April 1, 2023","Kimberly","yes","yes","I  had no hope this would work","I have spent thousands of dollars looking for relief from my joint pain. I’ve purchased braces, gadgets, had procedures, and everything in between. After 6 days of taking this, I woke up yesterday able to move like I haven’t in years. The pain is all but gone. I had 0 hope that this would work, and I have never been happier to be wrong. It is amazing.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R149LQCRY5KCOP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on June 5, 2019","ELENA VALENTIN","yes","yes","Not as they describe it.","Today is the seven day and I don't see such a great improvement. Still the same",3,"-","-","https://www.amazon.com/gp/customer-reviews/R17BBF7ANKLFN6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on September 10, 2023","JoeK","yes","yes","It works for me!","I’ve tried various remedies to help with some pain in my hips.  I’ve tried  turmeric, Glucosamine, Chondroitin, Osteo Bi-Flex, and now Flexuron.  I don’t typically notice that something is working until I stop taking it and notice increased aches and pains.  The same is true for Osteo Bi-Flex and Flexuron.  While both work for me, I was tired of take two huge tablets every morning required my Osteo Bi-Flex.  The single pill dose didn’t work so well for me.  In comparison, Flexuron is a nice small pill and is easy to take daily.  I am 59 and try to walk or bike daily for 30 minutes.  So I’m moderately active.  Hope this works for you as it did for me.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R2MXXVZ9693ET9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on November 29, 2018","jbw","yes","yes","Not worth the money","I tried this product for 3 weeks and saw no improvement with my arthritis. The only think I did get from this product was very loose stools and a severe headache. Obviously this product is not for me.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2X47J22TS7ZHK/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on December 11, 2021","CharlyGurl","yes","yes","Pricey… and sadly didn’t work.","I have arthritis in my knees… need a knee replacement so needless to say I’m in a lot of pain. I have searched high and low for anything that can give me a little relief. I came across these and it had good reviews. While some people stated that they had relief immediately others stayed it took the month.. unfortunately, for me it was neither. I  gave it a chance and finished the box. But I won’t be purchasing again. Sadly, my search continues for something that can aid me in my mobility.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R2TTFLV8C3QCBQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on June 26, 2023","Susan J.","yes","yes","Good for arthritis","This has been great for my friends with arthritis. It did not seem to help me. I have very little arthritis. My problem is the lack of cartilage in my knee.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R57ILJSGF06Z1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","-","-"
"Reviewed in the United States on December 10, 2022","Karla Raley","yes","yes","I have noticed a significant difference in my mobility in my hands.","I have been taking this for approximately 3 weeks.  I have noticed a significant difference in my mobility in my hands.  I haven’t noticed much difference in my back or legs yet.  However, it’s only 17 degrees.  I’m hopeful!I did have 4 of the jel pills smashed when I received my order but didn’t feel like messing with a return.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1I7QO61KK44Y9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on August 9, 2023","Alex P.","yes","yes","Unbelievable but it works","Doctors are telling me I will need a knee replacement. I've been so immobile because of my knee pain that I was barely getting to 5000 steps a day when I used to regularly break over 15k/day. Flexuron for a couple of weeks and now I'm making 10k steps a day some days (others around 7k) so my daily average has gone up. I'm more eager to walk now than I have been for years. It is terrible how debilitating knee pain is and to have something that actually works is incredible.",5,"-","-","https://www.amazon.com/gp/customer-reviews/RPEY2JAMTE6U0/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on April 19, 2023","Judy Angelbeck","yes","yes","It’s really works!","I am 81 and have news, particularly a right new that is causing me challenges in walking and discomfort.  I have tried a number of possible remedies for my right knee and none have really helped.  I have taken Flexiron for almost 2 months now.  This has made a very significant difference for me.  I have stopped using topical creams on my knees , I can move so much better.  While later in the evening there can still be some stiffness, this is a life changer for me.  I would strongly recommend it to anyone with knee issues. I will be taking Flexuron for a long time.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R31VHUSBEJ9F2G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on May 6, 2020","Annie Rooney","yes","yes","Not recommend over Glucosamine.","I stopped taking glucosamine and took this product for 2 weeks. My joints got worse, knee pain in particular became horrible. Stopped taking Flexuron and went back to glucosamine and started feeling better. I would not recommend this over glucosamine.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R3Q76M3MPH0O53/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on August 28, 2019","Linda","yes","yes","Not be working for me!","I tried Flexuron Joint Formula by Purity Products for arthitus in both hips and knees. I'm 3 weeks into now but still taking other pain meds as Flexuron has not started to work.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R32N6Z988RC04B/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on March 10, 2021","J. Roehrig","yes","yes","Hubby hates pills but is telling everyone about this!","My husband hates taking pills. Not a complainer at all, rarely says anything of his aches and pains. I hate to buy anything for him when he does say something about something hurting or achy because my word, that man expects immediate results. No results in a few days, he balks. The first day I got him to take 1 pill at night. He complained the next morning about taking another with his morning vitamin and didn't take it. Got him to take one the next morning .. since then no more battles. He is taking morning and night and I found out he is not only seeing and feeling major improvement in knees and back that he has taken a picture of the box and sending to others because he is so impressed. Would it help if I said we haven't even had the product in the house for a full 10 days yet!  This must be the best product made!!!!!!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R130VZRTD8PHDT/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on March 22, 2022","Stomperdell","yes","yes","Seems to help with knee pain","I have been diagnosed with osteoarthritis in my right knee and was contemplating surgery.  Then I had a series of 5 hyaluronic acid shots (GenVisc850) in my knee that relieved pain for about 4 months.  When the pain started to occur again I tried these pills.  After a month I am back to a pain-free knee and hope that I can continue to walk and function normally with no surgery needed.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2GKQRNE1LKI8P/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","-","-"
"Reviewed in the United States on October 29, 2022","Dennis P.","yes","yes","Good product helps with knee joint pain/discomfort","I have had a couple knee surgeries and suffer from arthritis as a result. Taking this product along with MSM 150mg plus Glucosamine 1500mg has helped decrease symptoms and inflammation in the joint. Will be purchasing a 90 day supply in near future. It’s not a cure for those suffering from serious pain but it does help.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R3TTOKGR9H2BG9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on September 21, 2023","Alecia","yes","yes","OMG OMG OMG - It is WORKING!","I bought this on a whim and when I saw the ingredients I was totally skeptical, HOWEVER, OMG it is working.  I started taking it about 4 days ago, 1 gel per day in the a.m.  I can tell you with certainty that before I started taking it, I would shriek and / or wince in pain every time I stood up from a seated position.  Now, I'm not shrieking anymore!  4 days and the pain is already cut in half.  the description says 7 days to see it start working, but I can already tell a HUGE difference.  I am not sure what my ""hip issue"" is, but I was told it is not my joint, it is muscular or tendons or maybe MENOPAUSE at any rate, whatever my issue is this is TOTALLY working for me.  GEEZ INCREDIBLE, thank you thank you SO MUCH for this product.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R26LRLYDY284O6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on August 2, 2023","Kathi","yes","yes","Big improvement","Started using this product in June of this year and by July my knee pain had pretty much disappeared! It still gets stiff when I sit for a while, but I am back to taking walks and being more active!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R25JBHQAD4IJ15/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on May 19, 2020","Randy Kepple","yes","yes","Another Wonderful Product from Purity!","Purity Products has an outstanding reputation based on quality products and honest product claims supported by their users. Reviewing this new product is tricky because you have to take into consideration underlying health issues, and it's important to say that you should consult with a medical professional to determine the root cause of your joint pain.I purchased this product during the Covid-19 pandemic. My knees have always been creaky, popping and cracking when I walk and bend down to pick up things. I've had my knees x-rayed 10 years ago and my doctor said that it's normal aging, especially given how much I used to hike in my younger days, and being a professional wedding photographer for 25 years. Lots of time spent on your knees getting the best angle for a shot, as well as hauling heavy gear, it's definitely taken a toll on my knees.During the stay in place orders, my right knee flared up really bad and it was painful and stiff. It just flared up overnight and persisted for over a week, so I decided to give these a try. In the past, I've tried joint supplement pills and also fish oil tablets. Both made me nauseous and I had mild side effects from the fish oil. I'm happy to say these pills are much smaller than I was expecting and very easy to tolerate with no side effects from the krill oil.I've almost finished my first order of pills and am happy to share that my knee pain is virtually non-existent! I'm still going to visit my doctor once things settle down again, but I've been very impressed with how well these work. It's hard to say how well these will work for everyone, but I'm a skeptic and I'm sold! I'll be ordering more in a few days and I wish they weren't so expensive, but maybe they'll come down in price once they are more established on the market. Highly recommend this product from Purity Products!",5,"-","-","https://www.amazon.com/gp/customer-reviews/RPSFKGESYDPBA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on July 20, 2022","Jo Ann","yes","yes","This stopped my hip painIt took","I was having hip pain daytime and nighttime.  In two weeks no more pain.  Later another type of hip pain started and I added the nighttime flexion and again the pain was gone.  So far all  stays good",5,"-","-","https://www.amazon.com/gp/customer-reviews/RJ124VO80SQ8L/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on March 1, 2023","Torty Love","yes","yes","Joint Pain Sucks","I can feel some relief, but it is very expensive to keep taking it.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R1WUUZSQAVSSOS/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on May 29, 2022","Beth Snyder","yes","yes","It came on time","It seems to have made a diifence so far only on it a couple of weeks --time will tell",4,"-","-","https://www.amazon.com/gp/customer-reviews/RDWEILK2ZZIC5/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on August 7, 2021","Amazon Customer","yes","yes","Just purchased it again . . .","I have arthritis in my left knee. After visiting with my knee doctor and having an XRAY and MRI, it was determined that ""scoping"" my knee would not help with my current situation.  Not ready for a knee replacement.  Starting taking supplements (include Omegas 3, Glucosamine, D3, etc) all that said may help with the inflammation.  Discovered Flexuron and was very hesitant.  But have taken it for 3 weeks and my knee feels really good.  I won't say it is 100% but I am back active again playing Pickleball and have just ordered it again to continue taking for another month.So far, so good!!!!",4,"-","-","https://www.amazon.com/gp/customer-reviews/R17MS8X2C12QF6/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on June 5, 2023","Rhonda H. Willis","yes","yes","It works!","I do not often write reviews, but the relief from leg/knee pain and stiffness after using Flexuron have been remarkable.  I’ve been experiencing gradual improvement ever since I started taking it six days ago.  Today my legs felt more normal than they have in a long time.  I would definitely recommend this product.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2YKH8K7WLCE14/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on May 19, 2023","KittAnne","yes","yes","Very Nice","After 7 days there was a difference. I would sit up in bed for as long as 20 minutes avoiding the pain of getting to my feet. I can now get up instantly without assistance from either hands to a stand. My box spring is on the floor too . If all I get out of it is no more pain standing up it's worth $1 a day. I quit all the gluchosamine products too.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1MHZUJ0IOK8C9/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on February 22, 2023","Melinda Carli","yes","yes","It works!","I never really expect a product to work but when you’re in pain you will try anything. In 3 days I could tell a difference. I have no pain nor swelling in my knee. I’m so thankful.",5,"-","-","https://www.amazon.com/gp/customer-reviews/R2NJ69KSCCU4FL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on September 11, 2019","Patsy Drake","yes","yes","No relief yet","I haven’t noticed any improvement yet. I’ve been using it for 15 days. I’m hoping for good news as I finish this up.",1,"-","-","https://www.amazon.com/gp/customer-reviews/R1755QARHFBRYZ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on April 25, 2021","Amazon Customer","yes","yes","Extremely satisfied!","I was skeptical to try this product at first. I have had hip and knee pain / stiffness since my Military days and looking for relief on these achy joints. I'll be 66 soon and decided to give this product a try. After following the suggested dosage of two pills a day for two weeks, I've got to admit, this product works. My hip pain and stiffness has improved dramatically. I can finally go up stairs without pain and am able to get on my treadmill at least once a day sometime twice. Reasonably prices compared to other leading brands I've tried. I am extremely satisfied and will continue to take this product. It defiantly works for me!",5,"-","-","https://www.amazon.com/gp/customer-reviews/R156HX0D35Z66G/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","-","-"
"Reviewed in the United States on September 23, 2022","Amazon CustomerAmazon Customer","yes","yes","Son buenas!","Estoy terminado mi primer caja de 30 para un mes ha mejorado el dolor pero aun me falta y espero que me ayude con la mobliidad aun estan muy rigidas y entumidas mis rodillas pero mis manos han mejorado badtante asi que voy ha continuar con el producto ..esperando me ayude mas con mis piernas...",3,"https://m.media-amazon.com/images/I/71vDJjcp+aL.jpg","-","https://www.amazon.com/gp/customer-reviews/R19PRSP2LBTJCN/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on April 13, 2023","William A Brandt","yes","yes","Works pretty good","Not as good as instaflex",3,"-","-","https://www.amazon.com/gp/customer-reviews/R1NCNKTPIJD1FL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on June 19, 2019","James A. Lucas","yes","yes","Twisted knee.","It didn’t resolve my issues. Thought it would aid in a recovery after spaining my knee. Didn’t make a difference.",3,"-","-","https://www.amazon.com/gp/customer-reviews/R2ZD2QXFP0E3UQ/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on February 20, 2023","Rebecca Gray casey","yes","yes","Good product","New user but so far I like it.Has helped my hands more than I expected.Did not cause any diarrhea for me.",4,"-","-","https://www.amazon.com/gp/customer-reviews/R3V068LJDZCJLR/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
"Reviewed in the United States on August 1, 2023","Charles E Phillips","yes","yes","Actually Made My Knee Better","I had sprained my knee at work.Terrible pain. I did all the usual treatments, but I still could barely stand on it.I ordered this product last, not knowing what to believe. But, honestly, within a week I was 80% better.After 2 weeks, I'm almost pain free.A rare product that actually works",5,"-","-","https://www.amazon.com/gp/customer-reviews/R1VZ6VTVGQKTC1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B07DP7V13H","B07DP7V13H","Size: 30 Count (Pack of 1)"
