Date,Author,Verified,Helpful,Title,Body,Rating,Images,Videos,URL,Variation,Style
"Reviewed in the United States on February 9, 2023",Lisa,yes,yes,Sickly sweet taste. Why change?  .,"The new texture and flavor is awful. Sickly sweet. Yes, flavor and texture are important. Why did you change it? I can get this same overly sweet powerful acting product in a lot of places. I'm guessing the manufacturer changed. Thoroughly disappointed. I would have been a customer for life. Now, on to trying others.",2,-,-,https://www.amazon.com/gp/customer-reviews/R2TP6VTCB62DAU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on April 21, 2023",WildNelly,yes,yes,It works!,"I bought this for my parents (female: 58 and male: 61) My mom suffers from severe arthritis as she works inside and outside cleaning apartment buildings in the hot Florida sun. She’s always complaining about her body aches specifically inflammation around her arm, hands and knees. She was to the point of going to the emergency room because of the horrific pain. Needless to say, she took two gummies during the night around 7pm and the next morning the inflammation and pain had decreased. When my father took the same dosage, he fell asleep quicker. I asked him how it went for him and he said he was fine, but he takes a lot of medication as his had two back surgeries and is in constant pain. For them it works! For myself (female: 27) and only took one gummy, I sure slept like a baby. I hope it works for you.",5,-,-,https://www.amazon.com/gp/customer-reviews/R3B97UEBIHFCFM/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on August 18, 2023",Cait,yes,yes,Good gummies but,"Okay, I have been using these gummies for sleep for maybe close to year now. I love them. They help with sleep and anxiety and I notice I sleep better when I take them.But, they changed the formula and im not a fan of the new ones. The older formula had a better taste and texture. This new formula taste off and the look is off as well. Not sure.  Hopefully they go back to the old formula",4,-,-,https://www.amazon.com/gp/customer-reviews/R3JXI3D8WMZYM1/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on December 5, 2022",Kay,yes,yes,Works amazing !,Love this product!! Great taste !  Does not get you a high feeling just very clam. Order these gummies every 3 months. If you live in warm climate the gummies might stick to each other. Very calming and smoothing feeling these gummies give you quick. Helps me fall asleep and with anxiety.,4,-,-,https://www.amazon.com/gp/customer-reviews/R33YMCEY11WSOC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on September 2, 2022",krisann67,yes,yes,Worth It,"I have been using these gummies for about 6 months for sleep.  They definitely work!  I fall asleep fast and don't wake up until morning.  I have only had trouble in August of receiving them melted together in one giant glob.  However, nothing else works!  I pried the glob of gummies out of the bottle and pick a gummy sized piece off every night.  My husband I call it a gummy ball now.  I'll keep buying them.  Eventually it will be cold again and they will return to their normal gummy shapes in shipping.  That's the only reason I give it 4 stars.",4,-,-,https://www.amazon.com/gp/customer-reviews/RSMGMM7K9R2KP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on October 11, 2020",loveiscakeloveiscake,yes,yes,"Tastes bad, works well.",They work really well but taste like hemp. Take them at night or when you need a nap. They make you sleepy if you haven’t built a tolerance.,4,https://images-na.ssl-images-amazon.com/images/I/71cMY6Nv+2L.jpg,-,https://www.amazon.com/gp/customer-reviews/RICDHJGJLPNJF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on February 24, 2022",Meghan,yes,yes,These are incredible!,"I have suffered with really bad lower back pain for years, also both shoulders to the point that I never get a good night's sleep but toss and turn constantly all night due to the pain. My doctors have said I have an inflammation issue. I was just recently getting over covid as was my father. My uncle had told him about these and gave him some to try and he ordered so for himself and gave me some to try. I didn't initially try it for the pain but to help me sleep due to the coughing. So I took 2 and went to bed, and not only did these help me to sleep soundly but my pain was like 90% gone! I dont care what I would take to knock me out my pain would still eventually wake me up and I would still have to keep moving and changing positions because of my pain. Even 2 naproxen didn't take my pain away like just 2 of these gummed did. I could not believe it but when you go from constant pain to almost none you will immediately see and feel a difference.I took 2 the next night, same results, had 1 left and wondered if 1 would still work, it did. I can't say if this will be something my body gets used to and will stop working but for now I have had the best sleep I have had in years. I would like to try it out on my hips walking because I have bad inflammation in both hips (I'm only 45 and pretty physically fit and active) if they make a difference with that I will be jumping for joy and will update on that. Right now I have only tried them at night and have only had them for less than a week but I am thrilled.",5,-,-,https://www.amazon.com/gp/customer-reviews/R3FUDJ43AV0MNL/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on March 30, 2023",Amazon Customer,yes,yes,They Raised the price,"My wife liked this product it seemed to help her a lot, but they doubled in price after a few short weeks so we moved on to another brand. There's too many brands out there to pay the price of these, so while I do like the product I can't recommend them because of that.I know times are tough but doubling the price is a sure fire way to lose business, it sure lost mine.",5,-,-,https://www.amazon.com/gp/customer-reviews/R59FJ470U8R43/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on October 27, 2022",Mary Hovis,yes,yes,Amazing !,"I have ordered these before, they are my best friend for sleepy time. Last time I ordered it was summer and they arrived all melted  together. They still worked,  I just had to cut them apart.  This time , they were shipped in an insulated envelope that kept them cool.They have really upped their shipping game! Way to go!That being said... this product is amazing! I use 2 before getting in bed and I am out like a light within 10 minutes. Much better than melatonin which is hit or miss with me. It also helps with my restless legs.",5,-,-,https://www.amazon.com/gp/customer-reviews/R2BYH0LKX6IKQA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on January 29, 2021",AnnaAnna,yes,yes,"One bottle arrived melted into one blob, gummies in other bottle taste horrible","I am so disappointed with these after reading the reviews. One bottle arrived melted into one blob, and I'm not sure if the other one is expired because they just taste gross. Giant waste of money.",1,"https://images-na.ssl-images-amazon.com/images/I/31WhJnkTTqL.jpg , https://images-na.ssl-images-amazon.com/images/I/81P7JL152SL.jpg",-,https://www.amazon.com/gp/customer-reviews/R34DQH4HU7GJ4H/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on December 13, 2022",Carol B. Sims,yes,yes,"It helps me to relax, not go to sleep, just relax.","As stated above, It does help me to relax.  Very useful for an elderly lady who has never smoked ""weed"", ""pot.""",4,-,-,https://www.amazon.com/gp/customer-reviews/R11518JLR6EJJ2/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on October 26, 2022",CalledMoo,yes,yes,Better then most CMD Gummies,Overall the taste of these are overall much better then most other CMD gummies and are affective. However you will get one bear every so often that has a much stronger hemp taste then the others. Have not felt any different on those days but possibly something to keep in mind incase it is a quality issue within their mixing process.,4,-,-,https://www.amazon.com/gp/customer-reviews/RYY4IVBLRMNRF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on July 11, 2022",MOTLEY,yes,yes,These hemp gummies can give you your life back.,"As a stand up forklift driver of 20 years the everyday abuse from all the absorbed impacts from the forkliftreally started to take a toll on my knees and legs,  since the driver absorbs all the bumps and impacts of the floors and terrain of going in and out of trucks. I found these New Age hemp gummies at a Retail Rebel store and had to try them since my joint pain had become unbearable. I took the gummies the night before I went back to work. The next morning I woke up without a bit of pain in my knees or legs. These gummies worked a miracle for my knees and legs. I can't go without them and now have a repeated  delivery schedule through Amazon. Of course each individual will have to find thier correct dosage for these gummies,  but for me I can't thank New Age for making them enough. These gummies gave me my life back, one of being happy and pain free.",5,-,-,https://www.amazon.com/gp/customer-reviews/R11UGK4F1TEVDW/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on February 1, 2023",Brooke,yes,yes,Helps me sleep so much better,"I work night shift, so these things have been an absolute life saver. They taste great. And the only time I actually sleep hard without tossing and turning and waking up is when I take about 3 of these gummies. I’ve repurchased several times. Highly recommend to those who have trouble getting to sleep or trouble staying asleep!",5,-,-,https://www.amazon.com/gp/customer-reviews/R175FGRPIGF6DE/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on January 22, 2023",KLStauffer,yes,yes,"My Blood pressure dropped after using ONE Gummie; hence, I will take with caution!","I am using with caution after my initial episode.  This Gummie is from a different company, so I will have to use with caution and hesitancy!",4,-,-,https://www.amazon.com/gp/customer-reviews/R23C98CA2J2HNA/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on May 18, 2021",Bluesky5553,yes,yes,I really wanted these to work......but..,"I was hoping to get some slight pain relief and to be able to sleep better. It's a very nice, expensive sweet and tart candy, but that's about all.  I am not getting any relief from pain that I hoped for, and it sure doesn't help me sleep any better. From what I have learned so far, there is a major difference in CBD comparing what's in these to what you can get elsewhere.I can not honestly recommend these to anyone at this point.  I am very disappointed to say the least.",1,-,-,https://www.amazon.com/gp/customer-reviews/R2N148RNQX7LZU/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on May 1, 2021",Denise Connors,yes,yes,Best sleep in years,"So I don’t usually take anything but Ibuprofen for minor backache in the am/pm & nothing for my crappy sleep. I thought I’d try it for the hell of it & was completely surprised! I have taken one a night before bed & I fall asleep faster, get back to sleep faster after I use the bathroom & wake up feeling like I REALLY slept! I stopped taking the Ibuprofen before bed & in the am because my dull backpain is gone. They are a tad sour, but not real bad & easily to chew & desolve. I am glad I got the 2 pack as I think these will be my nightly thing now.",5,-,-,https://www.amazon.com/gp/customer-reviews/RVN26EQGB2KPB/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on October 3, 2023",JTJT,yes,yes,Dear Seller: Great product - but this time they sent me SOUR instead (not the kind that I ordered),"Dear Seller: This product works great! Especially to use as an aide to help me get rest at night. Just one gummy will do the trick at this strength. This is my 3rd or 4th time ordering from this seller. I keep ordering from you because of the awesome product that works well! I also love the super fast delivery of the SAME DAY DELIVERY provided by Amazon. I would give it 10 star rating if it were possible.However, when I reorder it last night (by using the option “order this again”), they sent me the wrong one. They sent me “sour” this time, which is NOT what I ordered.The bottle on top of the box is the one I usually receive (the normal flavor). The 2 on the side of the box in the photo, are the ones that just arrived in the “sour” labeled box.Here is another way you can tell the difference:As you can see in the photo, all 3 bottles look the same - they don’t say sour on the bottle, but it only says sour on the box. The sour ones (bottles on the left and right of the photo) are a different color and have a lot more sugar on them, than the bottle on top of the box.",3,https://m.media-amazon.com/images/I/71KOTr6i+sL.jpg,-,https://www.amazon.com/gp/customer-reviews/R1VD5ZHV2YOIW8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on January 29, 2023",P. HortonP. Horton,yes,yes,Deliciously soothing!,"Great flavors! Excellant packaging! These Bears are better than ‘counting sheep’ come sleep time! Three bears, and I am sleeping like a baby! They calm, sooth and even help with my rheumatoid arthritis! You must try these!",5,https://m.media-amazon.com/images/I/61fM5gvi0zL.jpg,-,https://www.amazon.com/gp/customer-reviews/R297AE6BDMK7C8/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on October 18, 2022",D Vuke,yes,yes,Night time chill helper,"Take when restless or a bit insomniatic, or achy body, tends to take the edge off and allow me to relax. But I find when taking I get up much earlier than usual.",4,-,-,https://www.amazon.com/gp/customer-reviews/R3FMH9LZ15F49R/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on August 4, 2022",Wendy A. Emlinger,yes,yes,"Sadly, gummies and summer shipping during heat waves don't mix.",Just thought I'd warn others who'd like to order these gummies to avoid doing so in the summer. UPS trucks aren't air-conditioned and they got so hot during transport that they melted in the bottles. They were very colorful and very solidly merged. I had to toss them.The good news is the company refunded my money and that was very decent of them.,4,-,-,https://www.amazon.com/gp/customer-reviews/R223JX9HKCWSJF/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on November 16, 2023",Big AL,yes,yes,Very strong! Good!,"Let's get rid of the sugar, corn syrup, artificial flavors and colors. This is not candy for kids! Please flavor with real lime/lemon and better sweeteners. Then fives stars",4,-,-,https://www.amazon.com/gp/customer-reviews/R2CCHYTLBVFSQG/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B09RQZXH1P,Size: 90 Count (Pack of 1)
"Reviewed in the United States on June 16, 2023",Becky Williams,yes,yes,Last batch tasted terrible.  Hope it was just a fluke..,"the new recipe is terrible.  I will order one more time, and if they taste as bad as this last batch, I'll find another company to deal with.",4,-,-,https://www.amazon.com/gp/customer-reviews/R1OQCRA92MH1NH/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on June 12, 2023",Amazon Customer,yes,yes,I've been taking these for a while,"I've been taking these for a few years now, they do help lessen pain and help me to rest.  The most recent batch I received has been changed a bit.  They are harder and the flavor is a little off.  I liked the ones I had received in the past better.",4,-,-,https://www.amazon.com/gp/customer-reviews/R1BK7UYTABSPNP/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on September 24, 2023",Lou,yes,yes,What am I ingesting?,"I wanted to echo the sentiments of another reviewer. What the heck am I ingesting? There is almost no useful information on the label. I can do math, so, 90,000 MG divided by 90 gummies in the package is 100 MG per piece. 100 MG of what exactly? It doesn't say. How does Amazon partner with a company that manufactures something that is ingested with no information on the label about what it is. ""Ingredients: Hemp oil..."" is inadequate.",3,-,-,https://www.amazon.com/gp/customer-reviews/R34GHVIY5QFVAD/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on September 6, 2021",Jefferson Steelflex,yes,yes,THEY USED TO BE STRONGER!!!!,"I originally purchased these gummies in January of 2021. At the time, the gummies had a very strong oil flavor and each color didn’t really have too much of a different taste. The flavor was a very potent oil sour flavor that if you ate after brushing your teeth was almost unbearable due to the sourness. HOWEVER 2 of those bad boys and by the time your close your eyes it’ll be morning. I believe while they were strong, eating them before brushing your teeth was nothing unbearable and definitely able to eat although you could taste the oil and potency. Fast forward to now after finally finishing the 2 bottles, I decided to purchase again since I was satisfied last time however I noticed the recipe changed. The gummies now each have a significant blast of flavor and do not taste very potent at all. I wouldn’t be surprised if this had 0 CBD or hemp oil in it. These now literally taste like sour gummy worms you would find at the store. I don’t know if it’s in my head but they don’t feel as strong and you need at least 4-5 to even feel like they might help you sleep although these are only inducers and it isn’t really responsible for literally making you fall asleep it just should make you sleep faster. I will say I felt less groggy in the morning and woke up with more energy but I really do miss the old formula and definitely feel like these are no where near as strong as the previous ones.",3,-,-,https://www.amazon.com/gp/customer-reviews/RP8HESHQXV7Y/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
"Reviewed in the United States on June 14, 2023",Dana C.,yes,yes,Changed recipe.,Don’t like the new flavors. Don’t know if they contain the same products but I don’t care for the new taste.,4,-,-,https://www.amazon.com/gp/customer-reviews/R3R879FRWPTWVC/ref=cm_cr_getr_d_rvw_ttl?ie=UTF8&ASIN=B08HJKWBQZ,B08HJKWBQZ,Size: 90 Count (Pack of 2)
